# time	energy_lowpass
26.130000	-47.808026
26.140000	-47.861047
26.150000	-47.889650
26.160000	-47.920813
26.170000	-47.957338
26.180000	-47.970128
26.190000	-47.964553
26.200000	-47.997825
26.210000	-48.070856
26.220000	-48.159466
26.230000	-48.277994
26.240000	-48.385393
26.250000	-48.478873
26.260000	-48.590741
26.270000	-48.711867
26.280000	-48.809002
26.290000	-48.882458
26.300000	-48.941380
26.310000	-48.977132
26.320000	-49.016621
26.330000	-49.060271
26.340000	-49.087005
26.350000	-49.102052
26.360000	-49.117522
26.370000	-49.131746
26.380000	-49.142146
26.390000	-49.151146
26.400000	-49.145419
26.410000	-49.124175
26.420000	-49.095733
26.430000	-49.056867
26.440000	-49.041461
26.450000	-49.053464
26.460000	-49.074382
26.470000	-49.113926
26.480000	-49.154268
26.490000	-49.194101
26.500000	-49.250973
26.510000	-49.321386
26.520000	-49.378046
26.530000	-49.421016
26.540000	-49.461285
26.550000	-49.492196
26.560000	-49.534497
26.570000	-49.589616
26.580000	-49.641819
26.590000	-49.695820
26.600000	-49.737088
26.610000	-49.762464
26.620000	-49.782172
26.630000	-49.791600
26.640000	-49.795395
26.650000	-49.794131
26.660000	-49.781223
26.670000	-49.757412
26.680000	-49.738914
26.690000	-49.725998
26.700000	-49.711114
26.710000	-49.698225
26.720000	-49.675900
26.730000	-49.643116
26.740000	-49.608723
26.750000	-49.570023
26.760000	-49.530697
26.770000	-49.492024
26.780000	-49.450256
26.790000	-49.406644
26.800000	-49.360979
26.810000	-49.312959
26.820000	-49.263823
26.830000	-49.213526
26.840000	-49.155702
26.850000	-49.090004
26.860000	-49.019472
26.870000	-48.942434
26.880000	-48.862856
26.890000	-48.781032
26.900000	-48.693558
26.910000	-48.601289
26.920000	-48.515069
26.930000	-48.435559
26.940000	-48.358241
26.950000	-48.286110
26.960000	-48.212076
26.970000	-48.135882
26.980000	-48.063743
26.990000	-47.994302
27.000000	-47.921032
27.010000	-47.844220
27.020000	-47.766189
27.030000	-47.685448
27.040000	-47.607620
27.050000	-47.533098
27.060000	-47.457934
27.070000	-47.383454
27.080000	-47.301580
27.090000	-47.211146
27.100000	-47.116962
27.110000	-47.016652
27.120000	-46.914011
27.130000	-46.809371
27.140000	-46.698706
27.150000	-46.582747
27.160000	-46.468790
27.170000	-46.356888
27.180000	-46.243961
27.190000	-46.131803
27.200000	-46.015050
27.210000	-45.893311
27.220000	-45.770718
27.230000	-45.646048
27.240000	-45.546719
27.250000	-45.475998
27.260000	-45.420185
27.270000	-45.387374
27.280000	-45.362841
27.290000	-45.345990
27.300000	-45.351619
27.310000	-45.377150
27.320000	-45.401372
27.330000	-45.424759
27.340000	-45.456252
27.350000	-45.490968
27.360000	-45.545879
27.370000	-45.622480
27.380000	-45.708613
27.390000	-45.808421
27.400000	-45.904588
27.410000	-45.994350
27.420000	-46.089094
27.430000	-46.183745
27.440000	-46.285873
27.450000	-46.396434
27.460000	-46.507184
27.470000	-46.619711
27.480000	-46.751651
27.490000	-46.903453
27.500000	-47.067708
27.510000	-47.248932
27.520000	-47.434819
27.530000	-47.624617
27.540000	-47.828275
27.550000	-48.043141
27.560000	-48.200230
27.570000	-48.293685
27.580000	-48.353987
27.590000	-48.361442
27.600000	-48.358096
27.610000	-48.345332
27.620000	-48.284234
27.630000	-48.182484
27.640000	-48.086122
27.650000	-47.993409
27.660000	-47.886376
27.670000	-47.775459
27.680000	-47.621922
27.690000	-47.422606
27.700000	-47.204666
27.710000	-46.958702
27.720000	-46.735344
27.730000	-46.541923
27.740000	-46.347274
27.750000	-46.166153
27.760000	-45.974849
27.770000	-45.770924
27.780000	-45.579277
27.790000	-45.395102
27.800000	-45.170845
27.810000	-44.905748
27.820000	-44.619600
27.830000	-44.300434
27.840000	-43.982442
27.850000	-43.667837
27.860000	-43.329634
27.870000	-42.975365
27.880000	-42.666722
27.890000	-42.406878
27.900000	-42.172213
27.910000	-41.979768
27.920000	-41.787545
